author,year,intervention_name,scale_name,delay,paper_title,coder,lab_or_field,lab_field,program_name,publication_type,origin,setting,stage_in_life,mean_age,participant_sex,percent_of_male,percent_dominant_racial_or_ethnic_group,country,state,number_of_participant,type_of_control,intrevention_description,brief_description_of_the_intervention,delivery_of_treatment,intervention_length,time_intervention_took,additional_contact,stated_purpose_of_the_intervention,intervention_description,stated_purpose,condition_gender,n_items,contains_randomization,partial_analysis,study_design,is_primary,scale_type,type_of_at_risk_population,n_conditions,n_c_pre,n_c_post,n_t_pre,n_t_post,n_t_group,n_c_group,cluster_type,eff_type,u_s_d,anticipated_direction,ctrl_sd,page_number,comments,d,var_d,se_d,checked,checker_comment,is_red
gidycz,2011,sexual assault prevention program,SES - perp,213,Preventing Sexual Aggression Among College Men: An Evaluation of a Social Norms and Bystander Intervention Program,Paloma,1,field,the men's project,1,1,3,3,18.5,1,100%,91.80%,US,NA,635,1,1,"The intervention consisted in a 1.5h prevention program and a 1h booster session. Three strategies were used to promote change in men’s understanding of masculinity, consent in dating relationships, and awareness of the norms and misperceptions that foster a rape-supportive culture. The 1st strategy fosters empathy regarding sexual assault and rape by providing men with the opportunity to describe the impact of sexual assault on women in their lives and discuss alternative explanations for men’s perceptions of false accusations of assault. The discussions where also are designed to facilitate empathy by focusing on the debunking of rape myths. The second change strategy increased awareness about conditions of consent. The participants diiscussed definitions and operationalizations of consent in specific scenarios. The third strategy aimed to foster bystander intervention and resocialization. Campus-wide and participant data were presented on men’s discomfort with the inappropriate behavior and language of other men. Data on true norms among men and the sharing of personal experiences by participants served to undermine traditional conceptions of masculinity that are associated with rape proclivity (i.e., risk factors). The bystander behavior module, which includes an interactive exercise, encourages the majority of nonassaultive men to intervene in the behavior of the minority to change the campus context from one that supports coercive behavior to one that inhibits it.
Men participated in a booster session review of program material approximately 4 months following initial program participation where conditions for consent were reviewed, normative data was provided, and bystander intervention strategies were discussed. Men also discussed in small groups whether they have been able to use program content over the interim. Following this, they present the discussion topics from their small groups to the larger group.",2,1,150 minutes,1,"4,6,10",NA,"4,6,10",male,10,NA,NA,rct,TRUE,behavior,-,2,317.5,249,317.5,204,6,6,cluster randomized,NA,NA,NA,NA,735,NA,,,,Roni,data not provided for SES 7 months after,#ff0000
berliant,2012,outcome expectancies,Bumby rape scale,0,Sexual assault prevention: changing explicit and implicit cognitions of university men,Anne,0,lab,video-based intervention,4,2,3,3,19.69905533,1,100,NA,CA,NA,27,2,1,The outcome expectancies video (also used in the O'Donohue study) depicts testimonials of four young men who commited prior sexual assault. Three characters discuss their experiences going to prison and the fourth discusses the negative consequences of his behavior.,4,1,15 minutes,0,"1,5,6,9",NA,"1,5,6,9",male,36,NA,NA,rct,FALSE,attitudes,-,4,11,11,16,16,-,-,-,d.i.m,-1.78,-1,15.79,page63table6,"this study has behavior, but it is not valid to compare them as this is just a post test",,,,Roni,,#ffffff
berliant,2012,victim empathy/outcome expectancies,Bumby rape scale,0,Sexual assault prevention: changing explicit and implicit cognitions of university men,Anne,0,lab,video-based intervention,4,2,3,3,19.69905533,1,100,NA,CA,NA,28,2,1,The victim empathy video (also used in the O'Donohue study) provides testimonials of women who have experienced a rape or sexual assault. The goal is to convey a level of harm caused by rape that evokes empathy.,4,1,15 minutes,0,"1,5,6,9",NA,"1,5,6,9",male,36,NA,NA,rct,FALSE,attitudes,-,4,11,11,17,17,-,-,-,d.i.m,11.04,1,15.79,page63table6,"this study has behavior, but it is not valid to compare them as this is just a post test",,,,Roni,,#ffffff
berliant,2012,rape myth video&victim empathy,Bumby rape scale,0,Sexual assault prevention: changing explicit and implicit cognitions of university men,Anne,0,lab,video-based intervention,4,2,3,3,19.69905533,1,100,NA,CA,NA,20,2,1,The rape myths video (used previously in O'Donohue study) depicts clips of college students discussing a recent alleged rape on campus. It covered a total of 18 common myths.,4,1,15 minutes,0,"1,5,6,9",NA,"1,5,6,9",male,36,NA,NA,rct,FALSE,attitudes,-,4,11,11,9,9,-,-,-,d.i.m,4.98,1,15.79,page63table6,"this study has behavior, but it is not valid to compare them as this is just a post test",,,,Roni,,#ffffff
foshee,2012,families for safe dates,Physical dating abuse victimization,91,"Assessing the Effects of Families for Safe Dtaes, a Family-Based Teen Dating Abuse Prevention Program",Manna,1,field,familities for safe dates,1,1,5,2,14,7,42,79.3,USA,USA,464,1,1,"Families were randomly allocated to treatment condition received the Families for Safe Dates prorgram, including 6 mailed activity booklets followed up by health educator telephone calls to ensure they completed the booklets and survey their experience.",6,NA,NA,0,"2,3,9,10",NA,"2,3,9,10",both,5,NA,NA,rct,FALSE,behavior,-,2,234,184,230,140,140,184,cluster randomized,odds.ratio,0.26,1,-,page354table5,NA,,,,Roni,,#ffffff
foshee,2012,families for safe dates,physical dating abuse perpetration,91,"Assessing the Effects of Families for Safe Dtaes, a Family-Based Teen Dating Abuse Prevention Program",Manna,1,field,familities for safe dates,1,1,5,2,14,7,42,79.3,USA,USA,464,1,1,"Families were randomly allocated to treatment condition received the Families for Safe Dates prorgram, including 6 mailed activity booklets followed up by health educator telephone calls to ensure they completed the booklets and survey their experience.",6,NA,NA,0,"2,3,9,10",NA,"2,3,9,10",both,5,NA,NA,rct,FALSE,behavior,-,2,234,184,230,140,140,184,cluster randomized,odds.ratio,0.48,1,-,page354table5,NA,,,,Roni,,#ffffff
foshee,2012,families for safe dates,Teen acceptance of dating violence,91,"Assessing the Effects of Families for Safe Dtaes, a Family-Based Teen Dating Abuse Prevention Program",Roni,1,field,familities for safe dates,1,1,5,2,14,7,42,79.3,USA,USA,464,1,1,"Families were randomly allocated to treatment condition received the Families for Safe Dates prorgram, including 6 mailed activity booklets followed up by health educator telephone calls to ensure they completed the booklets and survey their experience.",6,NA,NA,0,"2,3,9,10",NA,"2,3,9,10",both,11,NA,NA,rct,FALSE,attitudes,-,2,234,184,230,140,140,184,cluster randomized,d,0.37,1,1,page354table4,NA,,,,Roni,,#ffffff
miller,2012,coaching boys into men,Gender-equitable attitudes,56,"""Coaching Boys into Men"": A Cluster-Randomized Controlled Trial of a Dating Violence Prevention Program",Anne,1,field,Coaching Boys Into Men (CBIM),1,1,2,2,10.48338369,1,100,34.2,US,CA,2006,1,1,"Coaches watched a 60 minute training video that provides strategies for opening conversation about violence against women with athletes. Coaches received 11 ""Training Cards"" that were meant to be used in brief (10-15 minute) weekly discussions with athletes about respect and dating violence prevention during the athletic season. Coaches had to complete a minimum of 9 out of the 11 ""Training Cards"" over a minimum of 4 weeks.",5,9,~112.5 minutes,0,"3,4,10",NA,10,male,12,NA,NA,rct,TRUE,attitudes,athletes,2,998,951,1008,847,8,8,cluster randomized,d.i.d,0,0,0.58,page436table3,NA,,,,Roni,,#ffffff
miller,2012,coaching boys into men,Abuse perpetration,56,"""Coaching Boys into Men"": A Cluster-Randomized Controlled Trial of a Dating Violence Prevention Program",Anne,1,field,Coaching Boys Into Men (CBIM),1,1,2,2,10.48338369,1,100,34.2,US,CA,2006,1,1,"Coaches watched a 60 minute training video that provides strategies for opening conversation about violence against women with athletes. Coaches received 11 ""Training Cards"" that were meant to be used in brief (10-15 minute) weekly discussions with athletes about respect and dating violence prevention during the athletic season. Coaches had to complete a minimum of 9 out of the 11 ""Training Cards"" over a minimum of 4 weeks.",5,9,~112.5 minutes,0,"3,4,10",NA,10,male,10,NA,NA,rct,FALSE,behavior,athletes,2,998,951,1008,847,8,8,cluster randomized,d.i.d,-0.09,1,0.84,page436table3,NA,,,,Roni,,#ffffff
barron,2013,tweenees,Children's Safety Knowledge and Skills Questionnaire,14,"Exploratory Evaluation of a School-Based Child
Sexual Abuse Prevention Program",Matej,1,field,Tweenees,1,2,1,1,12.1588785,5,61.0656,94,NA,NA,390,2,0.5,"The Tweenees program (Matthew & Laurie, 2002) has two main aims: to
enable students to be aware of potentially abusive situations and to disclose
CSA and other abuses. Program objectives include increasing student identification
of safe and risky people and situations as well as who to disclose
to. The program developed from survivor experience with no theoretical
base. Program content includes a series of discussion topics, such as bullying,
physical and sexual assault/abuse, domestic violence, gender issues,
and power in society. The main activities are movement and debate to topics
presented as provocative statements; for example, “It is okay to hit a woman”
for the topic of domestic violence. Students move to either side of the class
(or the middle) to signify agreement, disagreement, or uncertainty. Students
give their reasons and the presenter summarizes. The fourth lesson uses
the board game Truth Dare Scare. Students roll a dice and answer personal
safety questions—either telling the truth, sharing what scares them, or taking
a dare (e.g., a silly dance). Lessons are 50 minutes long. Presenters receive a
1-hour training delivered by the program author. Training includes program
aims/objectives, content, delivery style, confidentiality limits, and response
to disclosure.","2,5",4,~200 minutes,0,"2,3,11",0.5,"2,3,11",both,24,NA,NA,quasi-experimental,TRUE,attitudes,-,2,175,175,205,205,10,9,cluster randomized,f.test,2.195,1,-,10,NA,,,,Roni,"I changed from RCT to quasi experimental because in one school 7 classes were randomized, where in the other two school randomization was done at the school level. Thus the study doesn't meet the 10 cluster cutoff we have. ",#ffffff
espelage,2013,second step middle school program,Women Sexual Harassment Survey - perpetration,274,"The Impact of a Middle School Program to Reduce Aggression, Victimization,
and Sexual Violence",Matej,1,field,Second Step: Student Success Through Prevention (SS-SSTP),1,2,1,1,11.25,5,51.9,24.7,USA,"IL, KS",3616,1,0.5,"Student Success Through Prevention program is a universal curricular classroom intervention. Six-grade lessons were delivered by trained teachers in one 50-minute or two 25-minute classroom sessions, taught weekly or semiweekly throughout the school year. Students participated in the program from September 2010 to May 2011. The sixth-grade curriculum includes content related to bullying, problem-solving skills, emotion management, and empathy. Lessons are highly interactive, incorporating small group discussions and activities, dyadic exercises, whole-class instruction, and individual work.
Lessons are structured and supported through an accompanying DVD that contains rich media content including topi- focused interviews with students and video demonstrations of skills. A 4-hour training before implementation covers program curriculum, its delivery, and an introduction to child developmental stages related to the skills taught. Lessons are skills-based and students receive cueing and coaching on their performance. Teachers completed online implementation logs after completing each lesson, which assessed the teacher’s perceptions of student engagement and what components of the lesson they completed.
","4,5",15,750 minutes,0,"2,5,6",1,"2,5,6",both,10,NA,NA,rct,FALSE,behavior,-,2,1872,1676,2168,1940,18,18,cluster randomized,odds.ratio,0.94,-1,-,page5table2,NA,,,,Roni,,#ffffff
espelage,2013,second step middle school program,Women Sexual Harassment Survey - victimization,274,"The Impact of a Middle School Program to Reduce Aggression, Victimization,
and Sexual Violence",Matej,1,field,Second Step: Student Success Through Prevention (SS-SSTP),1,2,1,1,11.25,5,51.9,24.7,USA,"IL, KS",3616,1,0.5,"Student Success Through Prevention program is a universal curricular classroom intervention. Six-grade lessons were delivered by trained teachers in one 50-minute or two 25-minute classroom sessions, taught weekly or semiweekly throughout the school year. Students participated in the program from September 2010 to May 2011. The sixth-grade curriculum includes content related to bullying, problem-solving skills, emotion management, and empathy. Lessons are highly interactive, incorporating small group discussions and activities, dyadic exercises, whole-class instruction, and individual work.
Lessons are structured and supported through an accompanying DVD that contains rich media content including topi- focused interviews with students and video demonstrations of skills. A 4-hour training before implementation covers program curriculum, its delivery, and an introduction to child developmental stages related to the skills taught. Lessons are skills-based and students receive cueing and coaching on their performance. Teachers completed online implementation logs after completing each lesson, which assessed the teacher’s perceptions of student engagement and what components of the lesson they completed.
","4,5",15,750 minutes,0,"2,5,6",1,"2,5,6",both,10,NA,NA,rct,FALSE,behavior,-,2,1872,1676,2168,1940,18,18,cluster randomized,odds.ratio,0.96,-1,-,page5table2,NA,,,,Roni,,#ffffff
katz b,2013,know your power posters,illinois rape myth acceptance scale - short form,0,Spotting the Signs: First-Year College Students' Responses to Bystander-Themed Rape Prevention Posters,Matej,1,field,Know Your Power,1,2,3,3,18.15,5,31,NA,USA,NA,95,1,NA,"Three residence halls for first-year students were randomly selected at the start of the fall
semester. Two halls were randomly assigned to be experimental halls in which posters
from the Know Your Power campaign were hung on each floor. A total of 24 posters were
hung, 12 in each hall. Three different individual posters involving risk for sexual assault
at a party were hung on randomly selected bulletin boards on each floor, with posters on
the first floor near the main entrance/exit. Posters were not hung in the third (control)
hall. No other posters or educational materials about sexual assault were posted at the
time of the study. Resident assistants monitored the hallways weekly to ensure posters
remained on the bulletin boards and, when necessary, hung replacement posters. The
the posters were hung for 6 weeks.
",6,-,-,0,"3,4,10",1,"3,4,10",both,20,NA,NA,quasi-experimental,FALSE,attitudes,-,2,34,34,61,61,2,1,cluster randomized,d,0,0,-,page527,most attented prior bystander sexual assault program -- different than poster no additional details,,,,Roni,I changed from RCT to quasi experimental because they randomly assign 3 halls. ,#ffffff
katz b,2013,know your power posters,bystander behavior scale,0,Spotting the Signs: First-Year College Students' Responses to Bystander-Themed Rape Prevention Posters,Matej,1,field,Know Your Power,1,2,3,3,18.15,5,31,NA,USA,NA,95,1,NA,"Three residence halls for first-year students were randomly selected at the start of the fall
semester. Two halls were randomly assigned to be experimental halls in which posters
from the Know Your Power campaign were hung on each floor. A total of 24 posters were
hung, 12 in each hall. Three different individual posters involving risk for sexual assault
at a party were hung on randomly selected bulletin boards on each floor, with posters on
the first floor near the main entrance/exit. Posters were not hung in the third (control)
hall. No other posters or educational materials about sexual assault were posted at the
time of the study. Resident assistants monitored the hallways weekly to ensure posters
remained on the bulletin boards and, when necessary, hung replacement posters. The
the posters were hung for 6 weeks.
",6,-,-,0,"3,4,10",1,"3,4,10",both,15,NA,NA,quasi-experimental,FALSE,behavior,-,2,34,34,61,61,2,1,cluster randomized,f.test,4.6,1,-,page527,NA,,,,Roni,I changed from RCT to quasi experimental because they randomly assign 3 halls. ,#ffffff
miller,2013,coaching boys into men,Gender-equitable attitudes,365,"One-Year Follow-Up of a Coach-Delivered
Dating Violence Prevention Program: A Cluster Randomized Trial",Matej,1,field,Coaching Boys Into Men (CBIM),1,2,2,2,10.48338369,1,100,34.6,USA,CA,1513,1,NA,"The Coaching Boys Into Men (CBIM) program trains
coaches to talk to male athletes about stopping violence
against girls/women. A series of training cards guide
coaches through weekly, 15-minute discussions throughout
the sports season (www.CoachesCorner.org). Lessons
highlight respect, nonviolence, and interrupting abusive
behaviors among peers.",5,9,~112.5 minutes,0,"3,4,10",0.5,"3,4,10",male,12,NA,NA,rct,FALSE,attitudes,athletes,2,998,657,1008,537,8,8,cluster randomized,d.i.d,-0.03,-1,0.56,page111table2,connects to miller 2012,,,,Roni,,#ffffff
miller,2013,coaching boys into men,Abuse perpetration,365,"One-Year Follow-Up of a Coach-Delivered
Dating Violence Prevention Program: A Cluster Randomized Trial",Matej,1,field,Coaching Boys Into Men (CBIM),1,2,2,2,10.48338369,1,100,34.6,USA,CA,1513,1,NA,"The Coaching Boys Into Men (CBIM) program trains
coaches to talk to male athletes about stopping violence
against girls/women. A series of training cards guide
coaches through weekly, 15-minute discussions throughout
the sports season (www.CoachesCorner.org). Lessons
highlight respect, nonviolence, and interrupting abusive
behaviors among peers.",5,9,~112.5 minutes,0,"3,4,10",0.5,"3,4,10",male,10,NA,NA,rct,FALSE,behavior,athletes,2,998,657,1008,537,8,8,cluster randomized,d.i.d,-0.16,1,0.74,page111table2,connects to miller 2012,,,,Roni,,#ffffff
taylor,2013,shifting boundaries - classroom,perpetration frequency,0,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,Manna,field,field,Shifting Boundaries,1,1,1,1,11.7,5,46,13,USA,New York,2654,1,1,"The classroom intervention included a six-session curriculum emphasizing the laws and consequences for perpetrators of dating violence and sexual harassment (DV/H), the social construction of gender roles, and healthy relationships.","1,2,5",6,,0,"1,2,4,5,",NA,"1,2,4,5,",both,6,NA,NA,rct,FALSE,behavior,-,4,,-,,-,8,9,cluster randomized,t.test,-0.41,1,-,306,NA,-0.199,0.214,0.463,,,#ffff00
c,2013,shifting boundaries - classroom,victimization frequency,0,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,Manna,field,field,Shifting Boundaries,1,1,1,1,11.7,5,46,13,USA,New York,2654,1,1,"The classroom intervention included a six-session curriculum emphasizing the laws and consequences for perpetrators of dating violence and sexual harassment (DV/H), the social construction of gender roles, and healthy relationships.","1,2,5",6,,0,"1,2,4,5,",NA,"1,2,4,5,",both,6,NA,NA,rct,FALSE,behavior,-,4,,-,,-,8,9,cluster randomized,t.test,-0.76,1,-,304,NA,-0.369,0.216,0.465,,,#ffff00
taylor,2013,shifting boundaries - classroom + building,victimization frequency,0,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,Manna,field,field,Shifting Boundaries,1,1,1,1,11.7,5,NA,13,USA,New York,2654,1,1,"The classroom intervention included a six-session curriculum emphasizing the laws and consequences for perpetrators of dating violence and sexual harassment (DV/H), the social construction of gender roles, and healthy relationships. The building-based intervention included the use of building-based restraining orders, higher levels of faculty/security presence in safe/unsafe “hot spots” mapped by students, and posters to increase DV/H awareness and reporting",1,6,,0,"1,2,4,5,7",NA,"1,2,4,5,7",both,6,NA,NA,rct,FALSE,behavior,-,4,,-,,-,7,9,cluster randomized,t.test,-0.91,1,-,304,NA,-0.459,0.233,0.483,,,#ffff00
taylor,2013,shifting boundaries - classroom + building,perpetration frequency,0,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,Manna,field,field,Shifting Boundaries,1,1,1,1,11.7,5,NA,13,USA,New York,2654,1,1,"The classroom intervention included a six-session curriculum emphasizing the laws and consequences for perpetrators of dating violence and sexual harassment (DV/H), the social construction of gender roles, and healthy relationships. The building-based intervention included the use of building-based restraining orders, higher levels of faculty/security presence in safe/unsafe “hot spots” mapped by students, and posters to increase DV/H awareness and reporting",1,6,,0,"1,2,4,5,7",NA,"1,2,4,5,7",both,6,NA,NA,rct,FALSE,behavior,-,4,,-,,-,7,9,cluster randomized,t.test,-1.09,1,-,306,NA,-0.549,0.235,0.485,,,#ffff00
taylor,2013,shifting boundaries - classroom,perpetration frequency,183,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,Manna,field,field,Shifting Boundaries,1,1,1,1,11.7,5,46,13,USA,New York,2654,1,1,"The classroom intervention included a six-session curriculum emphasizing the laws and consequences for perpetrators of dating violence and sexual harassment (DV/H), the social construction of gender roles, and healthy relationships.","1,2,5",6,,0,"1,2,4,5,",NA,"1,2,4,5,",both,6,NA,NA,rct,FALSE,behavior,-,4,,-,,-,8,9,cluster randomized,t.test,-2.24,1,-,306,NA,-1.088,0.244,0.494,,,#ffff00
taylor,2013,shifting boundaries - building,victimization frequency,183,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,Manna,field,field,Shifting Boundaries,1,1,1,1,11.7,5,46,13,USA,New York,2654,1,1,"The building-based intervention included the use of building-based restraining orders, higher levels of faculty/security presence in safe/unsafe “hot spots” mapped by students, and posters to increase DV/H awareness and reporting","5,6",6,,0,"1,2,4,5,7",NA,"1,2,4,5,7",both,6,NA,NA,rct,FALSE,behavior,-,4,,-,,-,6,9,cluster randomized,t.test,-0.08,1,-,304,NA,-4.20E-02,0.246,0.496,,,#ffff00
taylor,2013,shifting boundaries - building,perpetration frequency,0,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,Manna,field,field,Shifting Boundaries,1,1,1,1,11.7,5,46,13,USA,New York,2654,1,1,"The building-based intervention included the use of building-based restraining orders, higher levels of faculty/security presence in safe/unsafe “hot spots” mapped by students, and posters to increase DV/H awareness and reporting","5,6",6,,0,"1,2,4,5,7",NA,"1,2,4,5,7",both,6,NA,NA,rct,FALSE,behavior,-,4,,-,,-,6,9,cluster randomized,t.test,-0.34,1,-,306,NA,-0.179,0.247,0.497,,,#ffff00
taylor,2013,shifting boundaries - building,perpetration frequency,183,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,Manna,field,field,Shifting Boundaries,1,1,1,1,11.7,5,46,13,USA,New York,2654,1,1,"The building-based intervention included the use of building-based restraining orders, higher levels of faculty/security presence in safe/unsafe “hot spots” mapped by students, and posters to increase DV/H awareness and reporting","5,6",6,,0,"1,2,4,5,7",NA,"1,2,4,5,7",both,6,NA,NA,rct,FALSE,behavior,-,4,,-,,-,6,9,cluster randomized,t.test,-0.27,1,-,306,NA,-0.142,0.247,0.497,,,#ffff00
taylor,2013,shifting boundaries - classroom + building,perpetration frequency,183,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,Manna,field,field,Shifting Boundaries,1,1,1,1,11.7,5,NA,13,USA,New York,2654,1,1,"The classroom intervention included a six-session curriculum emphasizing the laws and consequences for perpetrators of dating violence and sexual harassment (DV/H), the social construction of gender roles, and healthy relationships. The building-based intervention included the use of building-based restraining orders, higher levels of faculty/security presence in safe/unsafe “hot spots” mapped by students, and posters to increase DV/H awareness and reporting",1,6,,0,"1,2,4,5,7",NA,"1,2,4,5,7",both,6,NA,NA,rct,FALSE,behavior,-,4,,-,,-,7,9,cluster randomized,t.test,-1.75,1,-,306,NA,-0.882,0.249,0.499,,,#ffff00
taylor,2013,shifting boundaries - classroom,victimization frequency,183,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,Manna,field,field,Shifting Boundaries,1,1,1,1,11.7,5,46,13,USA,New York,2654,1,1,"The classroom intervention included a six-session curriculum emphasizing the laws and consequences for perpetrators of dating violence and sexual harassment (DV/H), the social construction of gender roles, and healthy relationships.","1,2,5",6,,0,"1,2,4,5,",NA,"1,2,4,5,",both,6,NA,NA,rct,FALSE,behavior,-,4,,-,,-,8,9,cluster randomized,t.test,-2.46,1,-,304,NA,-1.195,0.251,0.501,,,#ffff00
taylor,2013,shifting boundaries - building,victimization frequency,0,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,Manna,field,field,Shifting Boundaries,1,1,1,1,11.7,5,46,13,USA,New York,2654,1,1,"The building-based intervention included the use of building-based restraining orders, higher levels of faculty/security presence in safe/unsafe “hot spots” mapped by students, and posters to increase DV/H awareness and reporting","5,6",6,,0,"1,2,4,5,7",NA,"1,2,4,5,7",both,6,NA,NA,rct,FALSE,behavior,-,4,,-,,-,6,9,cluster randomized,t.test,-0.97,1,-,304,NA,-0.511,0.254,0.504,,,#ffff00
taylor,2013,shifting boundaries - classroom + building,victimization frequency,183,Shifting Boundaries: An Experimental Evaluation of a Dating Violence Prevention Program in Middle Schools,Manna,field,field,Shifting Boundaries,1,1,1,1,11.7,5,NA,13,USA,New York,2654,1,1,"The classroom intervention included a six-session curriculum emphasizing the laws and consequences for perpetrators of dating violence and sexual harassment (DV/H), the social construction of gender roles, and healthy relationships. The building-based intervention included the use of building-based restraining orders, higher levels of faculty/security presence in safe/unsafe “hot spots” mapped by students, and posters to increase DV/H awareness and reporting",1,6,,0,"1,2,4,5,7",NA,"1,2,4,5,7",both,6,NA,NA,rct,FALSE,behavior,-,4,,-,,-,7,9,cluster randomized,t.test,-2.27,1,-,304,NA,-1.144,0.264,0.514,,,#ffff00
chamberland,2014,saisir,knowledge of dating violence,30,ASSESSMENT OF THE IMPACT OF SAISIR: A dating violence prevention program,Arielle,0,field,SAISIR,1,2,2,2,14.72,5,52.99479167,97.2,Canada,NA,768,1,0.5,in-school workshops on dating violence,8,4,,0,"1,2,3,11",NA,"1,2,3,11",both,14,NA,NA,rct,FALSE,attitudes,-,2,,100,,226,5,4,cluster randomized,d.i.d,0.15,1,0.4378356,9,NA,0.343,0.361,0.601,,,#ffffff
chamberland,2014,saisir,knowledge of dating violence,7,ASSESSMENT OF THE IMPACT OF SAISIR: A dating violence prevention program,Arielle,0,field,SAISIR,1,2,2,2,14.72,5,52.99479167,97.2,Canada,NA,768,1,0.5,in-school workshops on dating violence,8,4,,0,"1,2,3,11",NA,"1,2,3,11",both,14,NA,NA,rct,FALSE,attitudes,-,2,,203,,349,5,4,cluster randomized,d.i.d,0.26,1,0.4378356,9,NA,0.594,0.371,0.609,,,#ffffff
darlington,2014,sexual wellness advocacy team,illinois rape myth acceptance scale - short form,0,Decreasing Misperceptions of Sexual Violence to Increase Bystander Intervention: A Social Norms Intervention,Arielle,0,field,Sexual Wellness Advocacy Team,4,2,"3,5",3,19.58915,1,100,76.971,USA,Oregon,200,1,1,sexual wellness peer theater education program,"2,3,5",1,,0,"1,2,3,4,9,10",NA,"1,2,3,4,9,10",male,19,NA,NA,rct,FALSE,attitudes,fraternity members,3,,56,,93,3,3,cluster randomized,d,0.04,1,-,98,"a lot of fraternities get presentations each year. Possible confound -- see page 52l effect size is compared to control, controlling for pre",0.04,0.427,0.653,,,#ffffff
darlington,2014,sexual wellness advocacy team,illinois rape myth acceptance scale - short form,122,Decreasing Misperceptions of Sexual Violence to Increase Bystander Intervention: A Social Norms Intervention,Arielle,0,field,Sexual Wellness Advocacy Team,4,2,"3,5",3,19.58915,1,100,76.971,USA,Oregon,200,1,1,sexual wellness peer theater education program,"2,3,5",1,,0,"1,2,3,4,9,10",NA,"1,2,3,4,9,10",male,19,NA,NA,rct,FALSE,attitudes,fraternity members,3,,42,,51,3,3,cluster randomized,d,0.04,1,-,98,"a lot of fraternities get presentations each year. Possible confound -- see page 52l effect size is compared to control, controlling for pre",0.04,0.427,0.653,,,#ffffff
darlington,2014,sexual wellness advocacy team + bystander education,illinois rape myth acceptance scale - short form,0,Decreasing Misperceptions of Sexual Violence to Increase Bystander Intervention: A Social Norms Intervention,Arielle,0,field,Sexual Wellness Advocacy Team,4,2,"3,5",3,19.64507463,1,100,70.64626866,USA,Oregon,201,1,1,sexual wellness peer theater education program plus bystander intervention training,"2,3,5",1,,0,"1,2,3,4,9,10",NA,"1,2,3,4,9,10",male,19,NA,NA,rct,FALSE,attitudes,fraternity members,3,,56,,60,3,3,cluster randomized,d,0.08,1,-,98,"a lot of fraternities get presentations each year. Possible confound -- see page 52l effect size is compared to control, controlling for pre",0.08,0.427,0.653,,,#ffffff
darlington,2014,sexual wellness advocacy team + bystander education,illinois rape myth acceptance scale - short form,122,Decreasing Misperceptions of Sexual Violence to Increase Bystander Intervention: A Social Norms Intervention,Arielle,0,field,Sexual Wellness Advocacy Team,4,2,"3,5",3,19.64507463,1,100,70.64626866,USA,Oregon,201,1,1,sexual wellness peer theater education program plus bystander intervention training,"2,3,5",1,,0,"1,2,3,4,9,10",NA,"1,2,3,4,9,10",male,19,NA,NA,rct,FALSE,attitudes,fraternity members,3,,42,,41,3,3,cluster randomized,d,0.06,1,-,98,"a lot of fraternities get presentations each year. Possible confound -- see page 52l effect size is compared to control, controlling for pre",0.06,0.427,0.653,,,#ffffff
darlington,2014,sexual wellness advocacy team,Bystander Behavior Scale-Revised,122,Decreasing Misperceptions of Sexual Violence to Increase Bystander Intervention: A Social Norms Intervention,Arielle,0,field,Sexual Wellness Advocacy Team,4,2,"3,5",3,19.58915,1,100,76.971,USA,Oregon,200,1,1,sexual wellness peer theater education program,"2,3,5",1,,0,"1,2,3,4,9,10",NA,"1,2,3,4,9,10",male,16,NA,NA,rct,FALSE,behavior,fraternity members,3,,42,,51,3,3,cluster randomized,d,0.2,1,-,103,"a lot of fraternities get presentations each year. Possible confound -- see page 52l effect size is compared to control, controlling for pre",0.2,0.429,0.655,,,#ffffff
darlington,2014,sexual wellness advocacy team + bystander education,Bystander Behavior Scale-Revised,122,Decreasing Misperceptions of Sexual Violence to Increase Bystander Intervention: A Social Norms Intervention,Arielle,0,field,Sexual Wellness Advocacy Team,4,2,"3,5",3,19.64507463,1,100,70.64626866,USA,Oregon,201,1,1,sexual wellness peer theater education program plus bystander intervention training,"2,3,5",1,,0,"1,2,3,4,9,10",NA,"1,2,3,4,9,10",male,16,NA,NA,rct,FALSE,behavior,fraternity members,3,,42,,41,3,3,cluster randomized,d,0.24,1,-,103,"a lot of fraternities get presentations each year. Possible confound -- see page 52l effect size is compared to control, controlling for pre",0.24,0.43,0.656,,,#ffffff
