author,year,intervention_name,scale_name,delay,paper_title,coder,lab_or_field,lab_field,program_name,publication_type,origin,setting,stage_in_life,mean_age,participant_sex,percent_of_male,percent_dominant_racial_or_ethnic_group,country,state,number_of_participant,type_of_control,intervention_description,brief_description_of_the_intervention,delivery_of_treatment,intervention_length,time_intervention_took,additional_contact,stated_purpose_of_the_intervention,intervention_description,stated_purpose,condition_gender,n_items,contains_randomization,partial_analysis,study_design,is_primary,scale_type,type_of_at_risk_population,n_conditions,n_c_pre,n_c_post,n_t_pre,n_t_post,n_t_group,n_c_group,cluster_type,eff_type,u_s_d,anticipated_direction,ctrl_sd,page_number,comments,d,var_d,se_d,checked,checker_comment,is_red,eliminiate,authors department/education in case belongs to center,lead author department/training,alex comments,
hilton,1998,intervention,date Rape Attiudes,42,Antiviolence Education in High Schools,Arielle,0,field,NA,1,1,2,2,16.5,5,49.6,NA,Canada,Ontario,NA,1,0.5,"assembly on consequences of sexual assault, signs of abusive relationships, options for victims, and laws, followed by workshops","1,5",1,,0,"1,2,7",NA,"1,2,7",both,not given,NA,NA,pre-post,FALSE,attitudes,-,1,,325,,489,4,4,n groups,d.i.m,0.0440,1,0.6700,10,NA,0.04,0.38,0.61,,,Loading...,,,,,
hilton,1998,intervention,date Rape Attiudes,0,Antiviolence Education in High Schools,Arielle,0,field,NA,1,1,2,2,16.5,5,49.6,NA,Canada,Ontario,NA,1,0.5,"assembly on consequences of sexual assault, signs of abusive relationships, options for victims, and laws, followed by workshops","1,5",1,,0,"1,2,7",NA,"1,2,7",both,not given,NA,NA,pre-post,FALSE,attitudes,-,1,,325,,370,4,4,n groups,d.i.m,-0.1300,-1,0.6700,10,NA,-0.13,0.38,0.62,,,Loading...,,,,,
lonsway,1998,campus acquaintance rape education (care),illinois rape myth acceptance scale,0,"Beyond ""No Means No"": Outcomes of an Intensive Program to Train Peer Facilitators for Campus Acquaintance Rape Education",Arielle,1,lab,Campus Acquaintance Rape Education,1,1,3,3,20.64,5,28.76712329,NA,USA,NA,74,1,0.5,semester-long course to facilitate peer workshops on rape education,"1,2,5",26,,0,"1,2,9",NA,"1,2,9",both,45,FALSE,NA,pre-post,FALSE,attitudes,-,2,,62,,54,-,-,-,d.i.m,0.3200,1,0.5400,9,human post is before intervention,0.59,0.04,0.19,,,Loading...,,,,,
lonsway,1998,campus acquaintance rape education (care),illinois rape myth acceptance scale,730,"Beyond ""No Means No"": Outcomes of an Intensive Program to Train Peer Facilitators for Campus Acquaintance Rape Education",Arielle,1,lab,Campus Acquaintance Rape Education,1,1,3,3,20.64,5,28.76712329,NA,USA,NA,74,1,0.5,semester-long course to facilitate peer workshops on rape education,"1,2,5",26,,0,"1,2,9",NA,"1,2,9",both,45,FALSE,NA,pre-post,FALSE,attitudes,-,2,,62,,34,-,-,-,d.i.m,0.4200,1,0.5400,9,NA,0.78,0.05,0.22,,,Loading...,,,,,
lonsway,1998,human sexuality course + workshop,illinois rape myth acceptance scale,730,"Beyond ""No Means No"": Outcomes of an Intensive Program to Train Peer Facilitators for Campus Acquaintance Rape Education",Arielle,1,field,Campus Acquaintance Rape Education,1,1,3,3,19.59,5,0.3958333333,NA,USA,NA,96,1,0.5,human sexuality class,"1,2,5",26,,0,"1,2,9",NA,"1,2,9",both,45,FALSE,NA,pre-post,FALSE,attitudes,-,2,,37,,21,-,-,-,d.i.m,0.1900,1,0.5300,9,NA,0.36,0.07,0.27,,,Loading...,,,,,
mandelblatt,1998,post,rape myth scale,0,Date rape and acquaintance rape attitudes among secondary school students: the influence of a date and acquaintance rape prevention education program,Anne,0,field,NA,4,2,2,2,NA,5,44.9,27.2,USA,CA,283,4,0.5,"Each class contained 20 to 40 students and 1-2 teachers in a health-related class. The female presenter used an interactive presentation style to guage students attitudes and beliefs. The presentation had 13 sections: 1) the Valley Trauma Center 2) facts about rape 3) date and acquaintance 4) men and rape 5) recognition and preparation of a plan in dating situations 6) what men can do 7) feelings of a survivor 8) what to do if sexually assaulted 9) prevention at home and outside 10) what to do if attacked 11) how to help someone who has been sexually assaulted 12) referrals and 13) questions, discussions, and brochures. The presentation outline is included in the appendices.",8,NA,,0,1,NA,1,both,11,NA,NA,pre-post,FALSE,attitudes,-,1,,175,,175,8,8,n groups,d.i.m,-1.1504,-1,6.0427,88,note they have SES but it is NOT our SES,-0.19,0.22,0.47,,,Loading...,,,,,
mandelblatt,1998,post,rape myth scale,30,Date rape and acquaintance rape attitudes among secondary school students: the influence of a date and acquaintance rape prevention education program,Anne,0,field,NA,4,2,2,2,NA,5,44.9,27.2,USA,CA,283,4,0.5,"Each class contained 20 to 40 students and 1-2 teachers in a health-related class. The female presenter used an interactive presentation style to guage students attitudes and beliefs. The presentation had 13 sections: 1) the Valley Trauma Center 2) facts about rape 3) date and acquaintance 4) men and rape 5) recognition and preparation of a plan in dating situations 6) what men can do 7) feelings of a survivor 8) what to do if sexually assaulted 9) prevention at home and outside 10) what to do if attacked 11) how to help someone who has been sexually assaulted 12) referrals and 13) questions, discussions, and brochures. The presentation outline is included in the appendices.",8,NA,,0,1,NA,1,both,11,NA,NA,pre-post,FALSE,attitudes,-,1,,175,,175,8,8,n groups,d.i.m,-0.6664,-1,6.0427,88,NA,-0.11,0.22,0.47,,,Loading...,,,,,
proto-campise,1998,rape-awareness program,survey,7,High School Students' Adherence to Rape Myths adn the Effectiveness of High School Rape-Awareness Programs,Matej,0,field,Women Helping Women (WHW),1,1,2,2,14.85,6,53,61,USA,Ohio,437,1,NA,"One-session class (1 hour) delivered by a worker from Women Help Women program. A combination of lecture and interaction by verbal communication between the presenter and the students. The students were given factual, thought-provoking information and then asked to respond and to participate in a discussion with the presenter.","1,2",1,,0,"1,2,5,9",0.5,"1,2,5,9",both,24,NA,NA,pre-post,FALSE,attitudes,-,1,,161,,256,-,-,-,reg.coef,1.7360,1,3.8100,16,NA,0.46,0.01,0.10,,,Loading...,,,,,
silverman,1998,the teen dating violence prevention and intervention program,Myths,0,An outcome evaluation of a school-based curriculum for the primary prevention of dating violence among adolescents,Anne,1,field,The Teen Dating Violence Prevention and Intervention Program,4,2,2,2,14.8,5,0.4676923077,95,US,MA,325,4,0.5,"The core curriculum consists of three structured one-hour blocks integrated into health education classes. In the first session, presenters asked students to brainstorm examples of abusive and respectful behavior. In the second session, commercial advertisements and student discussion were used to explore the link between stereotypes and violence. In the third session, students were taught to recognize the warning signs of teen dating violence. Units were presented over a 5 to 7 day period at the two participating schools. The author writes that the full description is available in Appendix A, but I was unable to find this attachment either in the pdf or on google. The post-test taken at time 2 did not include a booster.","1,2",3,,0,"1,2,3",NA,"1,2,3",both,4,NA,NA,pre-post,FALSE,attitudes,-,1,,325,,325,1,1,n groups,d.i.m,-0.2887,1,1.6986,79,NA,-0.17,32.12,5.67,,,Loading...,,,,,
silverman,1998,the teen dating violence prevention and intervention program,Myths,98,An outcome evaluation of a school-based curriculum for the primary prevention of dating violence among adolescents,Anne,1,field,The Teen Dating Violence Prevention and Intervention Program,4,2,2,2,14.8,5,0.4676923077,95,US,MA,325,4,0.5,"The core curriculum consists of three structured one-hour blocks integrated into health education classes. In the first session, presenters asked students to brainstorm examples of abusive and respectful behavior. In the second session, commercial advertisements and student discussion were used to explore the link between stereotypes and violence. In the third session, students were taught to recognize the warning signs of teen dating violence. Units were presented over a 5 to 7 day period at the two participating schools. The author writes that the full description is available in Appendix A, but I was unable to find this attachment either in the pdf or on google. The post-test taken at time 2 did not include a booster.","1,2",3,,0,"1,2,3",NA,"1,2,3",both,1,NA,NA,pre-post,FALSE,attitudes,-,1,,171,,171,1,1,n groups,d.i.m,-0.7116,1,1.7625,84,NA,-0.40,32.65,5.71,,,Loading...,,,,,
berg,1999,female stimulus,illinois rape myth acceptance scale,14,Rape Prevention Education for Men: The Effectiveness of Empathy-Induction Techniques,Arielle,0,lab,NA,1,2,3,3,19.2,1,100,74,USA,NA,54,1,1,participants heard a lecture about acquaintance rapes and then listened to a woman recounting experience of rape. they were asked to place themselves in the victims shoes,"2,4",1,75 minutes,0,"1,2,3,5,6,9",NA,"1,2,3,5,6,9",male,20,NA,NA,rct,FALSE,attitudes,-,3,17,17,19,19,-,-,-,d.i.m,-0.1300,-1,0.4000,8,NA,,,,Roni,empathy intervention - they are asked to to perspective taking,Loading...,,psychology,psychology,,
berg,1999,male stimulus,illinois rape myth acceptance scale,14,Rape Prevention Education for Men: The Effectiveness of Empathy-Induction Techniques,Arielle,0,lab,NA,1,2,3,3,19.2,1,100,74,USA,NA,54,1,1,participants heard a lecture about acquaintance rapes and then listened to a man recounting experience of rape. they were asked to place themselves in the victims shoes,"2,4",1,75 minutes,0,"1,2,3,5,6,9",NA,"1,2,3,5,6,9",male,20,NA,NA,rct,FALSE,attitudes,-,3,17,17,18,18,-,-,-,d.i.m,-0.3600,-1,0.4000,8,NA,,,,Roni,empathy intervention - they are asked to to perspective taking,Loading...,,,,,
breitenbecher,1999,intervention,SES - victimization,213,A Longitudinal Evaluation of the Effectiveness of a Sexual Assault Education Program,Arielle,0,lab,NA,1,2,3,3,20,2,0,84,USA,NA,275,1,0.5,1-hour sexual assault education program,"1,5",1,60 minutes,0,"2,11",NA,"2,11",female,9,NA,NA,rct,FALSE,behavior,-,2,143,117,132,108,-,-,-,d,0.0000,0,-,9,They don't provide actual numbers by state that the program was ineffective in reducing incidents of sexual assault,,,,Roni,,Loading...,,psychology,,,
breitenbecher,1999,intervention,Sexual Assault Knowledge,213,A Longitudinal Evaluation of the Effectiveness of a Sexual Assault Education Program,Arielle,0,lab,NA,1,2,3,3,20,2,0,84,USA,NA,275,1,0.5,1-hour sexual assault education program,"1,5",1,60 minutes,0,"2,11",NA,"2,11",female,21,NA,NA,rct,FALSE,attitudes,-,2,143,117,132,108,-,-,-,d.i.d,1.7400,1,2.5400,10,NA,,,,Roni,,Loading...,,,,,
davis,1999,sexual assault education and prevention program,knowledge of sexual assault survey,91,Effectiveness of a Sexual Assault Education and Prevention Program for Victims and Nonvictims of Sexual Abuse,Arielle,0,field,NA,4,2,3,3,19.38,2,0,96,USA,Arkansas,311,1,1,presentation on sexual violence prevention at a sorority,"1,2",1,~90 minutes,0,"2,3,8,11",NA,"2,3,8,11",female,30,NA,NA,quasi-experimental,FALSE,attitudes,-,2,162,160,148,135,2,2,cluster randomized,d.i.d,3.6745,1,2.9237,83-85,,,,,Roni,"I changed this into quasi experimental as randomization was done at the sorority level, with only 4 sororities",Loading...,,?,,,
saberi,1999,treatment 1: drama- absence of consent is not consent,rape myth acceptance,0,Acquaintance Rape Prevention: Changing Rape-Supportive Attitudes of College Students,Arielle,1,field,NA,4,2,3,3,18.5,3,46.96,76.5,USA,NA,178,2,1,live drama of acquaintance rape experience follow by discussion,"3,5",1,~90 minutes,0,"1,6,9",NA,"1,6,9",both,11,NA,NA,quasi-experimental,FALSE,attitudes,-,4,38,38,54,44,5,5,cluster randomized,d.i.m,-1.8423,-1,8.0640,61,NA,,,,Roni,I changed into quasi experimental as they only have 4 clusters in each condition,Loading...,,psychology,,,
saberi,1999,treatment 2: video presentation of the drama- absense of consent is not consent,rape myth acceptance,0,Acquaintance Rape Prevention: Changing Rape-Supportive Attitudes of College Students,Arielle,1,field,NA,4,2,3,3,18.5,3,46.98,76.5,USA,NA,178,2,1,video of drama presentation from treatment 1 followed by discussion,"4,5",1,~90 minutes,0,"1,6,9",NA,"1,6,9",both,11,NA,NA,quasi-experimental,FALSE,attitudes,-,4,38,38,48,48,5,5,cluster randomized,d.i.m,0.2990,1,8.0640,61,NA,,,,Roni,I changed into quasi experimental as they only have 4 clusters in each condition,Loading...,,,,,
saberi,1999,treatment 3: didactic presentation fashioned in the feminist education mode,rape myth acceptance,0,Acquaintance Rape Prevention: Changing Rape-Supportive Attitudes of College Students,Arielle,1,field,NA,4,2,3,3,18.5,3,46.98,76.5,USA,NA,178,2,1,presentation on knowledge of and attitudes toward acquaintance rape followed by discussion,2,1,~90 minutes,0,"1,6,9",NA,"1,6,9",both,11,NA,NA,quasi-experimental,FALSE,attitudes,-,4,38,38,35,35,5,5,cluster randomized,d.i.m,4.6364,1,8.0640,61,NA,,,,Roni,I changed into quasi experimental as they only have 4 clusters in each condition,Loading...,,,,,
burke,1999,intervention,dating violence knowledge,30,"Effects of a Dating Violence Intervention on College Students' Knowledge, Attitudes, and Behavior Intentions",Arielle,0,field,NA,4,2,3,3,19,3,46.22222222,70,USA,NA,225,2,0.5,45-minute video-taped lecture and discussion on dating violence,"4,5",1,,0,"1,2,5,10",NA,"1,2,5,10",both,10,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,109,,111,not given,not given,n groups,d.i.d,12.0700,1,16.4100,74,NA,0.74,0.02,0.14,,,Loading...,,,,,
burke,1999,intervention,dating violence knowledge,0,"Effects of a Dating Violence Intervention on College Students' Knowledge, Attitudes, and Behavior Intentions",Arielle,0,field,NA,4,2,3,3,19,3,46.22222222,70,USA,NA,225,2,0.5,45-minute video-taped lecture and discussion on dating violence,"4,5",1,,0,"1,2,5,10",NA,"1,2,5,10",both,10,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,109,,111,not given,not given,n groups,d.i.d,18.6800,1,16.4100,74,NA,1.14,0.02,0.15,,,Loading...,,,,,
heppner,1999,intervention,rape myth acceptance,7,Examining Immediate and Long-Term Efficacy of Rape Prevention Programming With Racially Diverse College Men,jh,0,lab,-,1,1,3,3,20.13,1,1,0.64,USA,midwest,119,4,0,three 90 minute lectures each a week apart,1,14,,0,"3,11",NA,"3,11",male,19,NA,NA,quasi-experimental,FALSE,attitudes,-,3,,39,,39,-,-,-,d,0.0000,0,-,NA,NA,0.00,0.05,0.22,,,Loading...,,,,,
heppner,1999,intervention,rape myth acceptance,152,Examining Immediate and Long-Term Efficacy of Rape Prevention Programming With Racially Diverse College Men,jh,0,lab,-,1,1,3,3,20.13,1,1,0.64,USA,midwest,119,4,0,three 90 minute lectures each a week apart,1,14,,0,"3,11",NA,"3,11",male,19,NA,NA,quasi-experimental,FALSE,attitudes,-,3,,39,,39,-,-,-,d,0.0000,0,-,NA,NA,0.00,0.05,0.22,,,Loading...,,,,,
heppner,1999,intervention,ses (perpetration),7,Examining Immediate and Long-Term Efficacy of Rape Prevention Programming With Racially Diverse College Men,jh,0,lab,-,1,1,3,3,20.13,1,1,0.64,USA,midwest,119,4,0,three 90 minute lectures each a week apart,1,14,,0,"3,11",NA,"3,11",male,not given,NA,NA,quasi-experimental,FALSE,behavior,-,3,,39,,39,-,-,-,d,0.0000,0,-,NA,NA,0.00,0.05,0.22,,,Loading...,,,,,
heppner,1999,intervention,ses (perpetration),152,Examining Immediate and Long-Term Efficacy of Rape Prevention Programming With Racially Diverse College Men,jh,0,lab,-,1,1,3,3,20.13,1,1,0.64,USA,midwest,119,4,0,three 90 minute lectures each a week apart,1,14,,0,"3,11",NA,"3,11",male,not given,NA,NA,quasi-experimental,FALSE,behavior,-,3,,39,,39,-,-,-,d,0.0000,0,-,NA,NA,0.00,0.05,0.22,,,Loading...,,,,,
boegler-daum,1999,1 session,knowledge,0,The Effects of a Dating Violence Program on Adolescent Awareness,Arielle,0,field,NA,4,2,2,2,NA,6,NA,NA,USA,New Jersey,28,3,0.5,"50-minutes factual presentation on relationship violence including viewing of ""Right From the Start"" followed by 6 50-minute support group sessions","1,4,5,6",7,,0,"1,2,5",NA,"1,2,5",both,25,NA,NA,pre-post,FALSE,attitudes,-,1,,28,,28,1,1,n groups,t.test,-6.0040,1,-,37,NA,-1.61,0.09,0.30,,,Loading...,,,,,
boegler-daum,1999,6 session,knowledge,0,The Effects of a Dating Violence Program on Adolescent Awareness,Arielle,0,field,NA,4,2,2,2,NA,6,NA,NA,USA,New Jersey,28,3,0.5,"50-minutes factual presentation on relationship violence including viewing of ""Right From the Start"" followed by 6 50-minute support group sessions","1,4,5,6",7,,0,"1,2,5",NA,"1,2,5",both,25,NA,NA,pre-post,FALSE,attitudes,-,1,,28,,28,1,1,n groups,t.test,-6.1240,1,-,37,NA,-1.64,0.09,0.31,,,Loading...,,,,,
strategier,1999,sexual communication intervention,rape myth acceptance,42,Effectiveness of Sexual Assault Interventions: A Behavioral Approach,Arielle,0,field,NA,4,2,3,3,22,4,34.56790123,71.3,USA,"Illinois, Georgia, Texas",520,"3,4",1,participants taught to recognize and prevent unclear communication with different methods used for men and women,"1,2,5",1,,0,"1,3,5,10,11",NA,"1,3,5,10,11",both,19,TRUE,NA,pre-post,FALSE,attitudes,-,2,,121.5,,121.5,not given,not given,cluster randomized,d.i.m,1.9460,1,11.5220,125; 127,NA,0.17,0.02,0.13,,,Loading...,,,,,
strategier,1999,legal definitions workshop,rape myth acceptance,42,Effectiveness of Sexual Assault Interventions: A Behavioral Approach,Arielle,0,field,NA,4,2,3,3,22,4,34.56790123,71.3,USA,"Illinois, Georgia, Texas",520,"3,4",1,information on the legal definition and consequences of sexual assault,"1,2,5",1,,0,"1,3,5,10,11",NA,"1,3,5,10,11",both,19,TRUE,NA,pre-post,FALSE,attitudes,-,2,,121.5,,121.5,not given,not given,cluster randomized,d.i.m,3.1023,1,11.5400,125; 128,NA,0.27,0.02,0.13,,,Loading...,,,,,
strategier,1999,sexual communication intervention,ses - vict,42,Effectiveness of Sexual Assault Interventions: A Behavioral Approach,Arielle,0,field,NA,4,2,3,3,22,4,34.56790123,71.3,USA,"Illinois, Georgia, Texas",520,"3,4",1,participants taught to recognize and prevent unclear communication with different methods used for men and women,"1,2,5",1,,0,"1,3,5,10,11",NA,"1,3,5,10,11",female,10,TRUE,NA,pre-post,FALSE,behavior,-,2,,79.5,,79.5,not given,not given,cluster randomized,d,0.3300,1,-,124,NA,0.33,0.03,0.16,,,Loading...,,,,,
strategier,1999,legal definitions workshop,ses - vict,42,Effectiveness of Sexual Assault Interventions: A Behavioral Approach,Arielle,0,field,NA,4,2,3,3,22,4,34.56790123,71.3,USA,"Illinois, Georgia, Texas",520,"3,4",1,information on the legal definition and consequences of sexual assault,"1,2,5",1,,0,"1,3,5,10,11",NA,"1,3,5,10,11",female,10,TRUE,NA,pre-post,FALSE,behavior,-,2,,79.5,,79.5,not given,not given,cluster randomized,d,0.1400,1,-,124,NA,0.14,0.03,0.16,,,Loading...,,,,,
strategier,1999,sexual communication intervention,SES - perpetration,42,Effectiveness of Sexual Assault Interventions: A Behavioral Approach,Arielle,0,field,NA,4,2,3,3,22,4,34.56790123,71.3,USA,"Illinois, Georgia, Texas",520,"3,4",1,participants taught to recognize and prevent unclear communication with different methods used for men and women,"1,2,5",1,,0,"1,3,5,10,11",NA,"1,3,5,10,11",male,10,TRUE,NA,pre-post,FALSE,behavior,-,2,,42,,42,not given,not given,cluster randomized,d,0.0000,0,-,124,NA,0.00,0.05,0.22,,,Loading...,,,,,
strategier,1999,legal definitions workshop,SES - perpetration,42,Effectiveness of Sexual Assault Interventions: A Behavioral Approach,Arielle,0,field,NA,4,2,3,3,22,4,34.56790123,71.3,USA,"Illinois, Georgia, Texas",520,"3,4",1,information on the legal definition and consequences of sexual assault,"1,2,5",1,,0,"1,3,5,10,11",NA,"1,3,5,10,11",male,10,TRUE,NA,pre-post,FALSE,behavior,-,2,,42,,42,not given,not given,cluster randomized,d,0.3400,1,-,124,NA,0.34,0.05,0.22,,,Loading...,,,,,
beadner,2000,non directive dating discussion + directive role play,rape myth acceptance,0,Date rape attitudes intervention: a controlled outcome study,Anne,0,lab,NA,4,2,3,3,19.5,"3,4",51.13636364,60,USA,NA,102,2,0.5,"In the experiment, facilitators first conducted a non-directive dating discussion (45 minutes) about dating relationships in the campus community. Then, they enacted a situation in which a male and female college student are in a situation that could potentially lead to date rape. Participants were asked to raise their hand during the role play if they judged the actions of either person to be inappropriate. After, the group leaders asked participants questions about their responses. The last part consisted of participants enacting a role-play with another subject from the group (one as the ""convincer"" and one as the ""resistor""). It ended with a discussion.","3,5",1,45 minutes,0,"1,3,6,9",NA,"1,3,6,9",both,19,NA,NA,rct,FALSE,attitudes,-,2,47,40,55,48,10,10,n groups,d.i.d,0.4500,-1,12.4500,39,NA,,,,Roni,,Loading...,,psychology,,,
beadner,2000,non directive dating discussion + directive role play,rape myth acceptance,14,Date rape attitudes intervention: a controlled outcome study,Anne,0,lab,NA,4,2,3,3,19.5,"3,4",51.13636364,60,USA,NA,102,2,0.5,"In the experiment, facilitators first conducted a non-directive dating discussion (45 minutes) about dating relationships in the campus community. Then, they enacted a situation in which a male and female college student are in a situation that could potentially lead to date rape. Participants were asked to raise their hand during the role play if they judged the actions of either person to be inappropriate. After, the group leaders asked participants questions about their responses. The last part consisted of participants enacting a role-play with another subject from the group (one as the ""convincer"" and one as the ""resistor""). It ended with a discussion.","3,5",1,45 minutes,0,"1,3,6,9",NA,"1,3,6,9",both,19,NA,NA,rct,FALSE,attitudes,-,2,47,40,55,48,10,10,n groups,d.i.d,-2.1900,1,12.4500,39,NA,,,,Roni,,Loading...,,,,,
foshee,2000,safe dates,Sexual violence victimization,365,The Safe Dates Program: 1-Year Follow-Up Results,Paloma,1,field,Safe Dates program,1,1,"1,2","1,2",13.9,3,48.8,77.10%,USA,North Carolina,1603,3,1,"The intervention included school activities: a theater production performed by peers, a curriculum of ten 45-minute sessions taught by health and physical education teachers, and a poster contest; and community activities : services for adolescents in abusive relationships and service provider training.","2,3,5",10,450 minutes,0,"1,10,11",NA,"1,10,11",both,2,NA,NA,rct,FALSE,behavior,-,2,943,801.5,943,801.5,7,7,cluster randomized,unspecified null,-0.0300,0,1.0000,p.1620,see if we can get an attitude from this paper (also older foshee paper),,,,Roni,,Loading...,,public health,,,
foshee,2000,safe dates,Sexual violence perpetration,365,The Safe Dates Program: 1-Year Follow-Up Results,Paloma,1,field,Safe Dates program,1,1,"1,2","1,2",13.9,3,48.8,77.10%,USA,North Carolina,1603,3,1,"The intervention included school activities: a theater production performed by peers, a curriculum of ten 45-minute sessions taught by health and physical education teachers, and a poster contest; and community activities : services for adolescents in abusive relationships and service provider training.","2,3,5",10,450 minutes,0,"1,10,11",NA,"1,10,11",both,2,NA,NA,rct,FALSE,behavior,-,2,,801.5,,801.5,7,7,cluster randomized,d,0.0000,-1,1.0000,2,NA,,,,Roni,,Loading...,,,,,
foshee,2000,safe dates,Acceptance of dating violence,365,The Safe Dates Program: 1-Year Follow-Up Results,Paloma,1,field,Safe Dates program,1,1,"1,2","1,2",13.9,3,48.8,77.10%,USA,North Carolina,1603,3,1,"The intervention included school activities: a theater production performed by peers, a curriculum of ten 45-minute sessions taught by health and physical education teachers, and a poster contest; and community activities : services for adolescents in abusive relationships and service provider training.","2,3,5",10,450 minutes,0,"1,10,11",NA,"1,10,11",both,8,NA,NA,rct,FALSE,attitudes,-,2,943,801.5,943,801.5,7,7,cluster randomized,t.test,1.7823,1,NA,2,see if we can get an attitude from this paper (also older foshee paper); I (SETH) calculated Cohen's D from p value,,,,Roni,,Loading...,,,,,
foubert,2000,the men's program,SES - perpetration,213,"The Longitudinal Effects of a Rape-prevention Program on Fraternity Men's Attitudes, Behavioral Intent, and Behavior",Anne,0,lab,the men's program,1,1,3,3,20.33,1,100,91,USA,NA,217,1,0.5,"During a one-hour program presented by four male peer educators, participants watched a video, ""How to help a sexual assault survivor: What men can do"" and were then taught basic skills on how to help women recover from rape. They discussed sexual encounters and societal norms.","4,5",1,60 minutes,0,"3,5,9",NA,"3,5,9",male,not given,NA,NA,quasi-experimental,FALSE,behavior,fraternity members,2,108,75,109,70,4,4,cluster randomized,d.i.m,-0.0900,-1,1.5300,4,NA,,,,Roni,I changed into quasi experimental as they only have 4 clusters in each condition,Loading...,,education,,,
foubert,2000,the men's program,rape myth acceptance,213,"The Longitudinal Effects of a Rape-prevention Program on Fraternity Men's Attitudes, Behavioral Intent, and Behavior",Anne,0,lab,the men's program,1,1,3,3,20.33,1,100,91,USA,NA,217,1,0.5,"During a one-hour program presented by four male peer educators, participants watched a video, ""How to help a sexual assault survivor: What men can do"" and were then taught basic skills on how to help women recover from rape. They discussed sexual encounters and societal norms.","4,5",1,60 minutes,0,"3,5,9",NA,"3,5,9",male,19,NA,NA,quasi-experimental,FALSE,attitudes,fraternity members,2,108,75,109,70,4,4,cluster randomized,d.i.d,-6.5000,1,12.7400,4,NA,,,,Roni,I changed into quasi experimental as they only have 4 clusters in each condition,Loading...,,,,,
beadner,2000,non directive dating discussion + directive role play,rape myth acceptance scale,0,Date rape attitudes intervention: a controlled outcome study,Anne,0,field,NA,4,2,3,3,19.5,"3,4",51.13636364,60,US,NA,88,1,0.5,"In the experiment, facilitators first conducted a non-directive dating discussion (45 minutes) about dating relationships in the campus community. Then, they enacted a situation in which a male and female college student are in a situation that could potentially lead to date rape. Participants were asked to raise their hand during the role play if they judged the actions of either person to be inappropriate. After, the group leaders asked participants questions about their responses. The last part consisted of participants enacting a role-play with another subject from the group (one as the ""convincer"" and one as the ""resistor""). It ended with a discussion.","3,5",1,,0,"1,3,6,9",NA,"1,3,6,9",both,19,NA,NA,rct,FALSE,attitudes,-,2,,40,,48,4,4,n groups,d.i.d,0.4500,-1,12.4500,39,NA,0.04,0.04,0.21,Roni,0,Loading...,1,,,,
beadner,2000,non directive dating discussion + directive role play,rape myth acceptance scale,14,Date rape attitudes intervention: a controlled outcome study,Anne,0,field,NA,4,2,3,3,19.5,"3,4",51.13636364,60,US,NA,88,1,0.5,"In the experiment, facilitators first conducted a non-directive dating discussion (45 minutes) about dating relationships in the campus community. Then, they enacted a situation in which a male and female college student are in a situation that could potentially lead to date rape. Participants were asked to raise their hand during the role play if they judged the actions of either person to be inappropriate. After, the group leaders asked participants questions about their responses. The last part consisted of participants enacting a role-play with another subject from the group (one as the ""convincer"" and one as the ""resistor""). It ended with a discussion.","3,5",1,,0,"1,3,6,9",NA,"1,3,6,9",both,19,NA,NA,rct,FALSE,attitudes,-,2,,40,,48,4,4,n groups,d.i.d,-2.1900,1,12.4500,39,NA,-0.18,0.04,0.21,Roni,appears twice in the dataset,Loading...,1,,,,
shultz,2000,treatment,rape myth acceptance,0,Evaluation of a University-Based Date Rape Prevention Program: Effect on Attitudes and Behavior Related to Rape,Anne,0,lab,Campus Rape Prevention,1,1,3,3,19.55,5,41.66666667,72,USA,NA,60,1,0,There is no description of the program aside from the inclusion of a presentation (amount of time unspecified). The goal of the study was to evaluate the university date rape prevention program's effect on participants' support for date rate attitudes (including rape myths) and intent to engage in rape-related behaviors. The program includes an interactive drama and encourages interaction between genders.,"2,3",NA,,0,"1,5",NA,"1,5",both,14,NA,NA,quasi-experimental,FALSE,attitudes,-,3,20,20,40,40,-,-,-,f.test,10.0700,1,NA,5,this is one of the papers that has the pre and not pre thing,-8.93,0.72,0.85,,,Loading...,,,,,
lonsway,2000,fycare - workshop,Illinois Rape Myth Acceptance Scale,0,First year campus acquaintance rape education: evaluating the impact of a mandatory intervention,Anne,1,field,First Year Campus Acquaintance Rape Education (FYCARE),1,2,3,3,NA,"3,4",NA,72.6,USA,NA,115,1,0.5,"The intervention included a lecture and discussion addressing the content of cultural rape mythology, interactive participation and use of media presentations, integration of the idea that rape is an expression of power and control, and avoidance of the confrontational techniques that are likely to alientate participants. The two-hour FYCARE workshops were facilitated by peer educators, with 2 male and 2 female facilitators per 40 participants (also half male and half female) during 162 total FYCARE workshops in the fall semester. The first segment, lasting 35 minutes, includes a discussion of statistics and state law. Following this is a brief video (Playing the Game) depicting an acquaintance rape. The second segment takes 45 minutes and involves separating participants into single-sex groups. Finally, they reconvene for 40 minutes to discuss strategies for ending sexual violence, campus services, and survivor support.","1,2,4,5",1,,0,"2,3,4,9,11",NA,"2,3,4,9,11",both,20,FALSE,NA,quasi-experimental,FALSE,attitudes,-,3,,67,,48,not given,not given,cluster randomized,d.i.m,0.3900,1,0.8600,8,NA,0.45,0.04,0.19,,,Loading...,,,,,
