author,year,coder,intervention name,title,publication type,origin,program name,number of participant,mean age,participant sex,% of male,stage in life,setting,% dominant racial or ethnic group,country,state,lab or field,type of control,intrevention description,brief description of the intervention,delivery of treatment,intervention length,additional contact,states purpose of the intervention,_file,stated purpose of the intervention,number of participants,intervention description,states purpose of the intervention...26,stated_purpose
Weisz,2001,Manna,sexual assault and dating violence prevention program,Evaluating a sexual assault and dating violence prevention program for urban youths,1,2,Reaching and Teaching Teens to Stop Violence,66,12.84,4,45.6,1,1,1,USA,Michigan,field,4,1,"The curriculum included didactic presentation of information, modeling, role-plays, experiential ex- ercises, and discussions to help participants acquire knowledge and better understand their own attitudes and behavior. The leaders used role-plays extensively, because students responded very positively to this educational format","1,2,5",12,1,"1,2,3,4",1,NA,NA,NA,NA,"1,2,3,4"
Weisz,2001,Matej,Dating Violence Prevention Program,Evaluating a sexual assault and dating violence prevention program for urban youths,1,1,NA,NA,12.84,4,100,1,1,100,USA,NA,0,1,NA,"Separate gender groups with two co-trainers. There were 12 sessions 1.5 hours long. The trainers used the curriculum “Reaching and Teaching Teens to Stop Violence” (Nebraska Domestic Violence Sexual Assault Coalition, 1995). The curriculum was in keeping with our broad definitions of “dating” and of “violence.” Because many seventh graders were not officially “dating,” the program focused on interactions that occur between youths who are attracted to each other and spending time together. Violence was defined as physical harm and coercive tactics, but the program also addressed other gender-related difficulties. The group leaders geared the program to address risk factors for low-income, inner-city African American adolescents by basing discussion and role-plays on the youths’ experiences. 
The curriculum included didactic presentation of information, modeling, role-plays, experiential exercises, and discussions to help participants acquire knowledge and better understand their own attitude behavior. The leaders used role-plays extensively, because students responded very positively to this educational format.","1,3,5",12,0,NA,3,"1,2,5,10",66,1,NA,"1,2,5,10"
Davis,2002,Matej,Traditional Date Rape Prevention Program,Getting Inside the House: The Effectiveness of a Rape Prevention Program for College Fraternity Men,1,1,NA,NA,19.6,1,100,3,3,95.6,USA,NA,0,2,NA,"A 90 minute long program that provided factual information about acquaintance 
rape, university policies related to acquaintance rape, and showed and discussed a video about the long-term effects of acquaintance rape.","1,2,4",1,NA,NA,3,"2,7,9",58,0.5,NA,"2,7,9"
Davis,2003,Matej,Socialization-Focused Program,Getting Inside the House: The Effectiveness of a Rape Prevention Program for College Fraternity Men,1,1,NA,NA,19.6,1,100,3,3,95.6,USA,NA,0,2,NA,"A 90 minute long program where participants received a socialization-focused program. The heart of this program uses contemporary movie and
television program clips that illustrate a
connection between sex role socialization and
rape. Following each clip, the facilitator
raised questions to stimulate discussion about
the culture of sexual assault in which men
and women are socialized in a manner that
promotes rape. Other critical program
components include interactive discussions
about consent, communication, and the legal
ramifications of perpetration.","4,5",1,NA,NA,3,"1,7,5,9",58,1,NA,"1,7,5,9"
Johansson-Love,2003,Anne,Experimental condition,Investigation of Attitude Change in a Rape Prevention Program,1,1,NA,151,20.06,1,100,3,3,84.5,US,Louisiana,0,2,0.5,"Participants were provided 2 rape pamphlets to read, one with statistics concerning campus rape and the other with information about how men should act in situations where women are vulnerable. The first is called ""Campus Rape: The Statistics"" and the second is called ""Real Men Don't Rape,"" and are distributed by the university's Wellness Education Department. Next, they watched a 22 minute video from the Santa Monica Hospital Rape Treatment Center discussing the effect of rape on the victim","4,6",1,0,NA,4,"1,9",NA,NA,NA,"1,9"
Meraviglia,2003,Jennifer,Intervention Group (Students),The Expect Respect Project: Creating a Positive Elementary School Climate,1,1,Expect Respect Project,349,11,3,NA,1,1,59,USA,Texas,1,1,0.5,"This intervention targetted both students and staff in Elementary Schools with a program called Expect Respect, in order to deter bullying and harrasment among students. The study finds that awareness was raised. The study also highlighted how staff and stduents have different perceptions of appropriate responses.",8,12,0,"1, 2, 4, 10,",6,NA,NA,NA,NA,"1, 2, 4, 10,"
Meraviglia,2003,Jennifer,Intervention Group (Staff),The Expect Respect Project: Creating a Positive Elementary School Climate,1,1,Expect Respect Project,222,NA,3,10,4,4,65,USA,Texas,1,1,0.5,"This intervention targetted both students and staff in Elementary Schools with a program called Expect Respect, in order to deter bullying and harrasment among students. The study finds that awareness was raised. The study also highlighted how staff and stduents have different perceptions of appropriate responses.",8,3,0,"1, 4",6,NA,NA,NA,NA,"1, 4"
O'Donohue,2003,Yashna,Rape Myth Acceptance (pilot),Rape Prevention With College Males,1,1,Rape myth video,101,22,1,100,3,3,73.3,USA,NA,lab,2,0.5,"Rape myths. The setting depicted in this section of the videotape is a “typical” American college campus. The segment is divided into short clips involving two to four characters each. The characters are discussing a recent alleged rape, in a manner that systematically states, and then debunks, rape myths hypothesized to contribute to sexually coercive behavior. Arguments and counter arguments are presented in a manner intended to resemble the interactions of contemporary college students. The goal of this segment is to convey the message that believing rape myths is not harmless and may contribute to engaging in sexually abusive behavior. The section covered a total of 18 common myths.",4,1,0,NA,2,"1,5,6,9",NA,NA,NA,"1,5,6,9"
O'Donohue,2003,Yashna,Victim Empathy (pilot),Rape Prevention With College Males,1,1,Victim empathy video,101,22,1,100,3,3,73.3,USA,NA,lab,2,0.5,Victim empathy. This segment provides testimonials of women who have experienced a rape or sexual assault. The script focuses on conveying the short- and long-term consequences of sexual assault. A male and a female commentator guide the viewer through testimonials and discuss the ramifica- tions of rape for the victim. Viewers are then asked to imagine the experience of a loved one being raped. They are also asked to imagine what they would feel like if another man raped them. The goal is to convey a level of harm caused by rape that evokes empathy.,4,1,0,NA,2,"1,5,6,9",NA,NA,NA,"1,5,6,9"
O'Donohue,2003,Yashna,Outcome expectancies (pilot),Rape Prevention With College Males,1,1,Outcome expectancies video,101,22,1,100,3,3,73.3,USA,NA,lab,2,0.5,"Outcome expectancies. This segment provides testimonials of four young men who committed a prior sexual assault. The viewer is guided through the testimonials by a male commentator who also serves as the interviewer to the offenders. Two of the characters are in prison. These men talk about the prob- lems associated with being in prison, including their own sexual victimiza- tion and the negative effects of their imprisonment on family members. One character, who has recently been paroled, discusses his inability to find employment because of his prior sexual assault conviction. The fourth char- acter, who was never convicted, reveals the social and educational conse- quences he experienced as a result of his behavior. Viewers are then asked to imagine the impact on their parents and friends if they were charged with rape.",4,1,0,NA,2,"1,5,6,9",NA,NA,NA,"1,5,6,9"
O'Donohue,2003,Yashna,Rape Myth Acceptance (main study),Rape Prevention With College Males,1,1,Rape myth video,102,20,1,100,3,3,77.5,USA,NA,lab,2,0.5,"Rape myths. The setting depicted in this section of the videotape is a “typical” American college campus. The segment is divided into short clips involving two to four characters each. The characters are discussing a recent alleged rape, in a manner that systematically states, and then debunks, rape myths hypothesized to contribute to sexually coercive behavior. Arguments and counter arguments are presented in a manner intended to resemble the interactions of contemporary college students. The goal of this segment is to convey the message that believing rape myths is not harmless and may contribute to engaging in sexually abusive behavior. The section covered a total of 18 common myths.",4,1,0,NA,2,"1,5,6,9",NA,NA,NA,"1,5,6,9"
O'Donohue,2003,Yashna,Victim Empathy (main study),Rape Prevention With College Males,1,1,Victim empathy video,102,20,1,100,3,3,77.5,USA,NA,lab,2,0.5,Victim empathy. This segment provides testimonials of women who have experienced a rape or sexual assault. The script focuses on conveying the short- and long-term consequences of sexual assault. A male and a female commentator guide the viewer through testimonials and discuss the ramifica- tions of rape for the victim. Viewers are then asked to imagine the experience of a loved one being raped. They are also asked to imagine what they would feel like if another man raped them. The goal is to convey a level of harm caused by rape that evokes empathy.,4,1,0,NA,2,"1,5,6,9",NA,NA,NA,"1,5,6,9"
O'Donohue,2003,Yashna,Outcome expectancies (main study),Rape Prevention With College Males,1,1,Outcome expectancies video,102,20,1,100,3,3,77.5,USA,NA,lab,2,0.5,"Outcome expectancies. This segment provides testimonials of four young men who committed a prior sexual assault. The viewer is guided through the testimonials by a male commentator who also serves as the interviewer to the offenders. Two of the characters are in prison. These men talk about the prob- lems associated with being in prison, including their own sexual victimiza- tion and the negative effects of their imprisonment on family members. One character, who has recently been paroled, discusses his inability to find employment because of his prior sexual assault conviction. The fourth char- acter, who was never convicted, reveals the social and educational conse- quences he experienced as a result of his behavior. Viewers are then asked to imagine the impact on their parents and friends if they were charged with rape.",4,1,0,NA,2,"1,5,6,9",NA,NA,NA,"1,5,6,9"
Foshee,2004,Paloma,Safe Dates program,The Safe Dates Program: 1-Year Follow-Up Results,1,1,Safe Dates program,325,13.9,5,0.585,"1,2","1,2",77.10%,US,North Carolina,0,3,1,"The intervention included school activities: a theater production performed by peers, a curriculum of ten 45-minute sessions taught by health and physical education teachers, and a poster contest; and community activities : services for adolescents in abusive relationships and service provider training.","1,2,3,5",10,0,NA,7,NA,NA,NA,"1,10,11","1,10,11"
Foshee,2004,Paloma,Safe Dates program + booster,The Safe Dates Program: 1-Year Follow-Up Results,1,1,Safe Dates program,336,13.9,5,0.585,"1,2","1,2",77.10%,US,North Carolina,0,3,1,"The intervention included school activities: a theater production performed by peers, a curriculum of ten 45-minute sessions taught by health and physical education teachers, and a poster contest; and community activities : services for adolescents in abusive relationships and service provider training.
The booster was an 11-page newsletter mailed to the adolescents’ homes and a per- sonal contact by a health educator by tele- phone approximately 4 weeks after the mail- ing. The newsletter included information and worksheets based on content from the Safe Dates school curriculum. Examples of infor- mation presented include red flags that a relationship is abusive, effective communication strategies, and tips for safe dating. Five work- sheets were included. 
Approximately 4 weeks after the mailing, a health educator made a personal contact with the adolescent by telephone. At that contact, the health educator answered the adolescent’s questions related to the newsletter, provided additional information when needed, and de- termined if the adolescent read each informa- tional component and completed the work- sheets. The adolescent was mailed $10 after the health educator determined that the newsletter activities were completed.","1,2,3,5",10,0,NA,7,NA,NA,NA,"1,10,11","1,10,11"
Lobo,2004,Anne,Experimental,"Evaluation of a Sexual Assault Prevention Program for College Men: Effects on Self-Reported Sexually Aggressive Behavior, Social Perceptions, and Attitudes",4,1,NA,342,NA,1,100,3,3,89.2,US,Ohio,0,1,1,"Participants participated in a program and focus group session with groups of 10-15 men facilitated by a trained male graduate student. The facilitator led a warm-up question and answer discussion, defined sexual assault and provided information about its prevalence, and initiated a discussion while presenting vignettes to highlight issues. The program details are provided in the appendices.","1,2,5",1,0,NA,4,"1,3,4",NA,NA,NA,"1,3,4"
Stephens,2004,Jennifer,Anti-Rape Video Group,Effects of Anti-Rape Video Content on Sexually Coercive and Noncoercive College Men's Attitudes and Alcohol Expectations.,1,1,Anti-Rape Videotape,45,NA,1,100,3,3,71.1,USA,West Coast,0,2,1,"This intervention recruited student volunteers (from Psych class) to take part in lab experiment that had a mixed group of sexually coercive (SC) and non sexually coercive (NC) males watching videos with anti-rape messages. Positive shifts in rape prevention attitudes and beliefs were demonstrated after the intervention amongst NC, but not SC males. There was no effect on either using the ATWS scale",4,1,0,"1, 8, 9",6,NA,NA,NA,NA,"1, 8, 9"
Foshee,2005,Yashna,Safe Dates,Assessing the Effects of the Dating Violence Prevention Program “Safe Dates” Using Random Coefficient Regression Modeling,1,1,Safe Dates,1566,13.9,5,46.8,"1,2","1,2",72.2,USA,North Carolina,field,1,0.5,"Safe Dates included a play performed by students, a curriculum of ten 45-minute sessions taught by health and physical education teachers, and a poster contest based on curriculum content.","1,3,9",12,0,NA,2,"3,11",NA,NA,NA,"3,11"
Fay,2006,Anne,Treatment,An acquaintance rape education program for students transitioning to high school,1,1,Adapted Parrot Program,154,NA,3,43.50649351,2,2,NA,US,South Carolina,0,2,0.5,"In an adapted version of the Parrot Program, students participated in 6 activities over 2 one-hour sessions on two consecutive days focusing on 6 topics: (1) assertive behavior, (2) sexual pressure and mixed messages, (3) communication, gender expectations and dating and drinking, (4) rape myths, victim blaming and sexual violence in the media, (5, 6) date rape definition and problem-solving, rape prevention and what to do if rape occurs. Each session was cotaught by a female and male facilitator. The exact activities are not explicit, but the researcher indicates use of a combination of activities, including role playing, discussion groups, questionnaires, and videos meant to encourage self-exploration and provide practical strategies for prevention.","2,4,5",2,0,NA,4,"1,9",NA,NA,NA,"1,9"
Foubert,2006,Yashna,The Men’s Program with an added training module on bystander intervention in situations involving alcohol,"Effects of Two Versions of an Empathy-Based Rape Prevention Program on Fraternity Men’s Survivor Empathy, Attitudes, and Behavioral Intent to Commit Rape or Sexual Assault",1,1,The Men's Program + bystander intervention,261,NA,1,100,3,3,NA,USA,NA,lab,1,0.5,"Presenters of The Men’s Program show a video (NO MORE, 2000) describing a male-on-male rape experience to teach men how a rape experience might feel. Next, presenters make connections between a male-on-male and a male-on-female rape experience to facilitate audience members’ empathy toward rape survivors. Later, men are taught how to support a rape survivor. In a final program portion, men are taught some of the basics of defining consent and hear strategies about how to confront a peer who either jokes about rape, acts in a way that demeans women, or brags about abusing women. A training module on bystander intervention in situations involving alcohol was also included.","1,4",1,0,NA,2,"4,6,8",NA,NA,NA,"4,6,8"
Foubert,2006,Yashna,The Men’s Program with an added training module on defining consent in situations involving alcohol,"Effects of Two Versions of an Empathy-Based Rape Prevention Program on Fraternity Men’s Survivor Empathy, Attitudes, and Behavioral Intent to Commit Rape or Sexual Assault",1,1,The Men's Program + consent,261,NA,1,100,3,3,NA,USA,NA,lab,1,0.5,"Presenters of The Men’s Program show a video (NO MORE, 2000) describing a male-on-male rape experience to teach men how a rape experience might feel. Next, presenters make connections between a male-on-male and a male-on-female rape experience to facilitate audience members’ empathy toward rape survivors. Later, men are taught how to support a rape survivor. In a final program portion, men are taught some of the basics of defining consent and hear strategies about how to confront a peer who either jokes about rape, acts in a way that demeans women, or brags about abusing women. A training module on consent in situations involving alcohol was also included.","1,4",1,0,NA,2,"6,8",NA,NA,NA,"6,8"
Kress,2006,Jennifer,Intervention,Evaluation of the Impact of a Coeducational Sexual Assault Prevention Program on College Students' Rape Myth Attitudes,1,1,Rape Prevention Program,174,18,"3, 4",36,3,3,93,USA,Midwestern,1,4,1,"This intervention was a mandatory program for college freshmen, facilitated by staff. Students were not allowed to register for classes w/o attending the program.Results show impact on decreasing rape myth acceptance, with particularly strong results among women.","1, 5, 3,",1,1,"9, 5, 3, 11, 7, 1, 2",6,NA,NA,NA,NA,"9, 5, 3, 11, 7, 1, 2"
Banyard,2007,Jennifer,One-Session Prevention Program,Sexual Violence Prevention Through Bystander Education: An Experimental Evaluation,1,1,Bystander Approach,252,19.4,4,0.459854015,3,3,90.4,USA,NA,1,1,1,"This intervention looks at the differences between a one session vs multi session bystander program among men and women. Though there was a booster, treatment effects continue in the long term. Interestingly, this intervention also had participants design and sign a bystander pledge.","1, 2, 5, 9, 4",2,1,"4, 1, 2, 5",6,NA,NA,NA,NA,"4, 1, 2, 5"
Banyard,2007,Jennifer,Three-Session Prevention Program,Sexual Violence Prevention Through Bystander Education: An Experimental Evaluation,1,1,Bystander Approach,252,19.4,4,0.459854015,3,3,90.4,USA,NA,1,1,1,"This intervention looks at the differences between a one session vs multi session bystander program among men and women. Though there was a booster, treatment effects continue in the long term. Interestingly, this intervention also had participants design and sign a bystander pledge.","1, 2, 5, 9, 4",4,1,"4, 1, 2, 5",6,NA,NA,NA,NA,"4, 1, 2, 5"
Beardall,2007,Anne,pre-/post-test,A Program Evaluation Research Study on the Implementation of the Mentors in Violence Prevention Program in a Public High School: A Dissertation,4,1,Mentors in Violence Prevention (MVP),68,NA,5,NA,2,2,NA,US,NA,0,4,0,"High School students join the MVP leadership team to mentor their peers and middle school students. The students create interactive role plays to perform at ""MVP Day"" and during lessons at middle schools. Students who sign up to be mentors participate in 15 hours of training over two days and later go to middle schools to lead lessons (although the post-test occured before students went to the middle schools). There is no information about what exactly mentors do during the training or about who the mentors are (race, age, gender, etc.)",5,2,0,NA,4,4,NA,NA,NA,4
Foubert,2007,Manna,rape prevention program,Behavior Differences Seven Months Later: Effects of a Rape Prevention Program,1,1,The Men's Program,565,19,1,100,3,3,NA,USA,Virginia,field,2,1,"First-year men at this institution either saw The Men’s Program as part of their extended orientation programming during the first month of the school year or wer e in a contr ol group that saw a program designed not to elicit attitude or behavior change on the variables measured. Experimental group participants saw a presentation of The Men’s Program (Foubert, 2005) by four experienced peer educators, each of whom had at least 20 hours of peer education training. After disclaimers, an overview, and a basic review of rape definitions, presenters told the audience that they would view a videotape that described a rape situation. This tape described a male police officer being raped by two men who were depicted as vio- lent, known previously to the officer, and heterosexual.","1,2,4,6",1,0,"9, 3",1,NA,NA,NA,NA,"9, 3"
Lowe,2007,Yashna,The Safe Relationships,"Preventing Dating Violence
in Public Schools: An Evaluation of an Interagency Collaborative Program for Youth",1,1,The Safe Relationships,106,15.4,5,45.9,2,2,54.1,USA,Georgia,1,4,0.5,"Each day session consists of 4 sub-sessions that are presented by members of a different organization (based on their area of expertise). The first session presents definitions of sexual assault (legal, moral, and social), coercion, assertiveness skills, and per- sonal boundaries. The second session covers victim’s rights, sexual harass- ment laws, abuse of power in relationships, and issues of consent and coercion in dating/sexual behavior. The third focuses on the stages of healthy relationships, developing personal boundaries, and risks of sexual behavior. The final session reviews earlier topics and covers the issue of decision-making. Each presentation includes a review of the previous day’s curriculum, an overview of the agency’s services, and distribution of information about community resources students could utilize for fur- ther help.","1,4,5",4,0,NA,2,"1,2,11",NA,NA,NA,"1,2,11"
Lowe,2007,Paloma,The Safe Relationships program,Preventing Dating Violence in Public Schools: An Evaluation of an Interagency Collaborative Program for Youth,1,1,The Safe Relationships program,106,15.4,5,45.90%,2,2,54.10%,US,Georgia,1,4,1,"The intervention consists in presentations over the course of four days during health class in each of the high schools in the community. Each agency (a faith-based counseling agency, a rape response agency, an agency focusing on prevention of teen pregnancy, and a counseling agency for sexual abuse victims and perpetrators) presented an hour of the curriculum to students based on the agency’s expertise and area of practice. Lecture, group activities, discussion, and films are used to educate the teens about safe and non-exploitive dating and sexual behaviors. Specifically, the first session presents definitions of sexual assault (legal, moral, and social), coercion, assertiveness skills, and personal boundaries. The second session covers victim’s rights, sexual harassment laws, abuse of power in relationships, and issues of consent and coercion in dating/sexual behavior. The third focuses on the stages of healthy relationships, developing personal boundaries, and risks of sexual behavior. The final session reviews earlier topics and covers the issue of decision-making. Each presentation includes a review of the previous day’s curriculum, an overview of the agency’s services, and distribution of information about community resources students could utilize for further help.","1,2,4",4,0,NA,7,NA,NA,NA,"1,2,3,5","1,2,3,5"
Borges,2008,Matej,Presentation only,Clarifying Consent: Primary Prevention of Sexual Assault on a College Campus,1,1,"SHARPP ""Consent 101""",NA,19.5,5,32.7,3,3,NA,USA,NA,0,1,NA,"Treatment one consisted of participants listening to the facilitator read information about the four basic components of consent (seeking, receiving, expressed, permission) as defined by the university and examples of
how these components can be applied to actual situations. The importance of continual attainment of consent was also emphasized. All information and examples were taken from the SHARPP '‘Consent 101’’ materials.",1,1,0,NA,3,"1,2",123,0.5,NA,"1,2"
Borges,2008,Matej,Presentation and activity,Clarifying Consent: Primary Prevention of Sexual Assault on a College Campus,1,1,"SHARPP ""Consent 101""",NA,19.5,5,32.7,3,3,NA,USA,NA,0,1,NA,"Treatment one consisted of participants listening to the facilitator read information about the four basic components of consent (seeking, receiving, expressed, permission) as defined by the university and examples of
how these components can be applied to actual situations. The importance of continual attainment of consent was also emphasized. All information and examples were taken from the SHARPP '‘Consent 101’’ materials.

Treatment two consisted of the same elements of treatment one combined with an interactive discussion about the relationship between consent and alcohol consumption.","1,2",1,0,NA,3,"1,2,8",127,0.5,NA,"1,2,8"
Brooke,2008,Paloma,Keeping Kids Safe program,How do you stop the Boogeyman? An evaluation of a sexual assault prevention program,4,1,Keeping Kids Safe program,362,NA,1,42.80%,1,1,44.20%,US,NA,1,4,1,"The first day of the program included a victim-blaming story and activity about bullying, a discussion about responsibility for abuse, and a discussion and activity about how gender stereotypes lead to violence. The second day of the program was focused on educating students about consent, sexual abuse, and sexual assault. An activity was conducted to demonstrate the definition of consent and the meaning of force. Then sexual abuse was defined, and the educator led a discussion on different kinds of sexual abuse and what, specifically, makes those acts abusive. Laws concerning sexual assault were presented, along with statistics about sexual assault and myths and facts about abuse. 
The third day of the program consisted of discussions about the difference between unhealthy and healthy relationships and the difference between flirting and sexual harassment. 
The fourth day of the program began with a discussion on bystander intervention. The educator provided students with [descriptive] social norms for their class, drawing from the pre test questionaires.","1,2,6",4,0,NA,7,NA,NA,NA,"1,2,9,10,4","1,2,9,10,4"
Cissner,2008,Arielle,Peer Educators,Evaluating the Mentors in Violence Prevention Program: Preventing Gender Violence on a College Campus,5,1,Mentors in Violence Prevention,509,19.65,"3,4",48,3,3,79,USA,New York,0,1,0.5,trained to be leaders of the MVP program,2,2,0,"1,3,4,5,8,10",5,NA,NA,NA,NA,"1,3,4,5,8,10"
Cissner,2008,Arielle,Workshop Participants,Evaluating the Mentors in Violence Prevention Program: Preventing Gender Violence on a College Campus,5,1,Mentors in Violence Prevention,751,19.5,"3,4",53,3,3,83,USA,New York,0,1,0.5,participated in MVP program led by peer educators,"2,4,5",2,0,"1,3,4,5,8,10",5,NA,NA,NA,NA,"1,3,4,5,8,10"
Moyniham,2008,Arielle,NA,Community Responsibility for Preventing Sexual Violence: A Pilot Study with Campus Greeks and Intercollegiate Athletes,1,1,NA,127,19.9,5,49.60629921,3,3,NA,USA,NA,0,1,0,NA,NA,NA,0,"1,2,4",5,NA,NA,NA,NA,"1,2,4"
Bradley,2009,Yashna,Mixed-Gender Sexual Assault Prevention Program,An Evaluation of a Mixed-Gender Sexual Assault Prevention Program,1,1,Mixed-Gender Sexual Assault Prevention Program,309,23.2,3,36.6,3,3,NA,USA,West Coast,field,1,1,"Part of the program targeted men (re perpetration) and part of it targeted women (re victimization). The program segments targeting men’s behavior focused primarily on changing sexual assault myths, poor victim empathy, and problematic outcome expectancies. The program also attempted to decrease motivation for engaging in sexually coercive behavior by describing the negative consequences that can occur as a result of engaging in sexually coercive behavior. The program segments targeting women’s behavior attempted to improve women’s reception, perception, and interpretation of rape-related stimuli (e.g., decoding skills) and refine their ability to generate, emit, and evaluate the potential utility of responses that may decrease risk of sexual assault (e.g., decision skills).","1,4",1,0,NA,2,"9,6,5,2,3",NA,NA,NA,"9,6,5,2,3"
DeGannes,2009,Matej,Middle school rape prevention program,"Evaluation of a sexual assault and dating violence prevention
program for middle school students",4,1,Project Awareness,NA,13.46,5,47.3,1,1,43.9,USA,NA,1,1,NA,"Each cycle of Project Awareness took place over an 8-week period. Each individual school was targeted for a session one day per week and the sessions were held during the period designated for health class. Program facilitators/educators were certified rape crisis counselors and completed a 40-hour training to receive certification. Lessons were taught using various instructional methods, including lecture with discussion, role playing, cooperative group lessons and multimedia education. The multimedia component of the program utilized several videos targeted to young audiences. For example, the “You’re In Control” video, created by the local rape crisis center and starring real survivors or sexual assault, aimed to educate adolescents by incorporating true stories from other adolescents from their geographical area.","1,2,3,4,5",8,0,NA,3,"1,2,3,11",57,1,NA,"1,2,3,11"
Post,2009,Anne,Six-Year,An Examination of Whether Coordinated Community Responses Affect Intimate Partner Violence,1,1,Coordinated Community Response (CCR),9631,47.70953172,7,47.58519365,4,5,75.52352819,US,NA,1,1,0,"CCR projects were funded through the Centers for Disease Control in order to enhance community coalitions and coordinate responses for preventing intimate partner violence  (IPV) and provide services. Communities with the intervention developed primary and secondary prevention initiatives to target attitudes and beliefs about IPV, provide support for victims, and increase accountability for perpetrators. Some of the activities include hotlines, emergency shelters, support groups, counseling, legal services, hospitals, housing and child care, medical care, and transitional housing. Communities in this group received the treatment for six years.",9,NA,0,NA,4,1,NA,NA,NA,1
Post,2009,Anne,Three-Year,An Examination of Whether Coordinated Community Responses Affect Intimate Partner Violence,1,1,Coordinated Community Response (CCR),8003,47.22920155,7,47.80973385,4,5,64.72030489,US,NA,1,1,0,"CCR projects were funded through the Centers for Disease Control in order to enhance community coalitions and coordinate responses for preventing intimate partner violence  (IPV) and provide services. Communities with the intervention developed primary and secondary prevention initiatives to target attitudes and beliefs about IPV, provide support for victims, and increase accountability for perpetrators. Some of the activities include hotlines, emergency shelters, support groups, counseling, legal services, hospitals, housing and child care, medical care, and transitional housing. Communities in this group received the treatment for six years.",9,nA,0,NA,4,1,NA,NA,NA,1
Stephens,2009,Jennifer,Intervention,Rape Prevention with College Men: Evaluating Risk Status,1,1,Rape Prevention Program,146,19.3,1,100,3,3,100,USA,Northwestern,1,1,1,This intervention looked at the effect of a 50 minute video on perpetration among high and low risk college males. They found that only rape myth acceptance and victim empathy are sustained in the long term. Additionally high risk men were less effected by the intervention than low risk men.,"4, 9",1,0,"1, 3, 6, 8, 9",6,NA,NA,NA,NA,"1, 3, 6, 8, 9"
Foubert,2010,Matej,Participation in The Men's Program session,In Their Own Words: Sophomore College Men Describe Attitude and Behavior Changes Resulting From a Rape Prevention Program 2 Years After Their Participation,1,1,The Men's Program,NA,20,1,100,3,3,87,USA,NA,1,1,NA,"Presenters of The Men’s Program show a DVD describing a male-on-male rape experience designed to teach men how a rape experience might feel. After the video is shown, presenters process the video, noting the presumably heterosexual orientation of the perpetrators, and they follow this by making connections between a male-on-male and a male-on-female rape experience to facilitate empathy toward rape survivors. Later, men are taught how to support a rape survivor. Men then learn the
basics of defining sexual consent and hear strategies for confronting peers as bystanders when they overhear others tell jokes about rape, act in ways that demean women, or brag about abusing women. Following that, men are taken through a guided imagery of a woman close to them who experiences rape under the influence of alcohol while a bystander watches and does nothing.
This emphasis on alcohol-related situations is particularly important given that most rape in college involves alcohol. Participants then brainstorm ways that they could intervene in situations where an alcohol-related rape might occur. The program itself lasts about 1 hr.","1,2,4",1,0,NA,3,"1,2,3,4,8,9",184,1,NA,"1,2,3,4,8,9"
Hillenbrand-Gunn,2010,Arielle,NA,Men as Allies: The Efficacy of a High School Rape Prevention Intervention,1,1,NA,283,16.58,5,60.36792453,2,2,83,USA,NA,1,1,0.5,3-time in-class presentation based on Men as Allies philosphy,"1,2,4,6",3,0,"1,3,5,9,10",5,NA,NA,NA,NA,"1,3,5,9,10"
Jordan,2010,Paloma,Playing the Game 2 film + Peer-Led Discussion,Examining the effects of two sexual assault/date rape interventions in a population of college freshmen,4,1,NA,251,18.08,3,55.40%,3,3,69.40%,US,Maryland,0,1,0.5,"The intervention consisted in showing the Playing the Game 2 film (12 minutes). The video was filmed at the University of Maryland, College Park and presented a typical college acquaintance rape scenario. The film came with a discussion guide that peer educators will use as the basis for their discussion with the freshmen students randomized to this study condition.","4, 2",1,0,NA,7,NA,NA,NA,"1,5,3","1,5,3"
Jordan,2010,Paloma,SARPP Peer Educator Program,Examining the effects of two sexual assault/date rape interventions in a population of college freshmen,4,1,NA,257,18.08,3,58.30%,3,3,74.80%,US,Maryland,0,1,0.5,"The SARPP consists of a co-educational workshop led by small groups of male and female presenters. The SARPP presentation provides a discussion of rape, consent,coercion, prevention strategies for males and females, a narrative of a University of Maryland student’s date rape/sexual assault experience, and how to handle yourself if a friend comes to you that has been sexually victimized.","1,2",1,0,NA,7,NA,NA,NA,"1,5,3","1,5,3"
Liu,2010,Anne,pre-/post-test,A Study of a University-Based Men-Only Prevention Program (Men Care): Effect on Attitudes and Behaviors Related to Sexual Violence,4,1,Men CARE,901,NA,1,100,3,3,70.9,US,CA,1,4,0,"Men CARE is a men's-only program that focuses on prevention by targetting potential perpetrators. 20 male leaders, including students, administrators, and faculty, organized workshops and put together a campaign using posters on campus. Participants self-selected into the program . A description of the workshop is not provided",8,1,0,NA,4,"1,3",NA,NA,NA,"1,3"
